년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-17,1,3608.64,150,1001.28,0,1001.28,17.28,0,0,0,0,0,0,0,0,0,0,0,0,1001.28,862.08,742.08,565.44,316.8,103.68,17.28,0,0,0,0,0
2018-04-18,1,7769.28,324,1033.92,0,1033.92,19.2,0,0,0,0,0,0,45.12,336.96,640.32,858.24,985.92,1033.92,1025.28,954.24,811.2,610.56,347.52,100.8,19.2,0,0,0,0,0
2018-04-19,1,7488.96,312,1014.72,0,1014.72,23.04,0,0,0,0,0,0,49.92,325.44,624,840,956.16,1014.72,997.44,914.88,759.36,568.32,310.08,105.6,23.04,0,0,0,0,0
2018-04-20,1,7191.36,300,975.36,0,975.36,17.28,0,0,0,0,0,0,53.76,273.6,559.68,789.12,922.56,975.36,966.72,904.32,749.76,557.76,321.6,99.84,17.28,0,0,0,0,0
2018-04-21,1,7541.76,314,995.52,0,995.52,24.96,0,0,0,0,0,0,53.76,325.44,615.36,829.44,952.32,992.64,995.52,942.72,801.6,586.56,328.32,93.12,24.96,0,0,0,0,0
2018-04-22,1,4552.32,190,725.76,0,725.76,47.04,0,0,0,0,0,0,48.96,293.76,622.08,725.76,625.92,484.8,410.88,567.36,315.84,234.24,175.68,47.04,0,0,0,0,0,0
2018-04-23,1,752.64,31,192,0,192,11.52,0,0,0,0,0,0,0,0,11.52,29.76,30.72,56.64,192,180.48,123.84,72,36.48,19.2,0,0,0,0,0,0
2018-04-24,1,2180.16,91,345.6,0,345.6,1.92,0,0,0,0,0,0,1.92,23.04,71.04,160.32,271.68,345.6,297.6,253.44,250.56,273.6,124.8,83.52,23.04,0,0,0,0,0
2018-04-25,1,7825.92,326,1040.64,0,1040.64,19.2,0,0,0,0,0,0,76.8,405.12,689.28,885.12,1000.32,1040.64,1008.96,936,787.2,560.64,314.88,101.76,19.2,0,0,0,0,0
2018-04-26,1,6591.36,275,985.92,0,985.92,26.88,0,0,0,0,0,0,86.4,244.8,620.16,834.24,915.84,985.92,821.76,549.12,647.04,446.4,285.12,127.68,26.88,0,0,0,0,0
2018-04-27,1,7031.04,293,951.36,0,951.36,27.84,0,0,0,0,0,0,38.4,291.84,555.84,772.8,894.72,951.36,945.6,859.2,737.28,548.16,315.84,92.16,27.84,0,0,0,0,0
2018-04-28,1,7463.04,311,1022.4,0,1022.4,0.96,0,0,0,0,0,0.96,54.72,282.24,581.76,816.96,939.84,1000.32,1022.4,924.48,785.28,585.6,336.96,109.44,22.08,0,0,0,0,0
2018-04-29,1,7175.04,299,949.44,0,949.44,23.04,0,0,0,0,0,0,81.6,355.2,629.76,832.32,942.72,949.44,909.12,768.96,658.56,584.64,332.16,107.52,23.04,0,0,0,0,0
2018-04-30,1,6757.44,282,913.92,0,913.92,24.96,0,0,0,0,0,0,74.88,265.92,527.04,740.16,873.6,913.92,909.12,823.68,691.2,503.04,292.8,117.12,24.96,0,0,0,0,0
2018-05-01,1,5194.56,216,866.88,0,866.88,16.32,0,0,0,0,0,0,75.84,282.24,539.52,736.32,866.88,759.36,441.6,407.04,439.68,371.52,158.4,99.84,16.32,0,0,0,0,0
2018-05-02,1,961.92,40,167.04,0,167.04,0.96,0,0,0,0,0,0,1.92,25.92,75.84,96,115.2,167.04,145.92,147.84,94.08,49.92,41.28,0.96,0,0,0,0,0,0
2018-05-03,1,3227.52,134,618.24,0,618.24,2.88,0,0,0,0,0,0,2.88,64.32,452.16,618.24,529.92,548.16,504.96,158.4,241.92,54.72,39.36,7.68,4.8,0,0,0,0,0
2018-05-04,1,7736.64,322,1051.2,0,1051.2,20.16,0,0,0,0,0,0,37.44,171.84,642.24,871.68,1003.2,1051.2,1045.44,980.16,831.36,628.8,351.36,101.76,20.16,0,0,0,0,0
2018-05-05,1,6514.56,271,909.12,0,909.12,0.96,0,0,0,0,0,2.88,96,354.24,612.48,762.24,909.12,897.6,893.76,703.68,400.32,387.84,306.24,144.96,42.24,0.96,0,0,0,0
2018-05-06,1,1474.56,61,212.16,0,212.16,28.8,0,0,0,0,0,0,0,30.72,81.6,98.88,128.64,144.96,148.8,212.16,184.32,126.72,182.4,106.56,28.8,0,0,0,0,0
2018-05-07,1,3503.04,146,606.72,0,606.72,15.36,0,0,0,0,0,0,15.36,72.96,118.08,139.2,241.92,583.68,426.24,606.72,553.92,368.64,242.88,114.24,19.2,0,0,0,0,0
2018-05-08,1,4124.16,172,720,0,720,2.88,0,0,0,0,0,2.88,61.44,125.76,218.88,264,234.24,274.56,431.04,615.36,720,624.96,380.16,144.96,25.92,0,0,0,0,0
2018-05-09,1,7619.52,317,1076.16,0,1076.16,0.96,0,0,0,0,0,3.84,83.52,335.04,546.24,871.68,698.88,1076.16,1047.36,965.76,822.72,604.8,349.44,168,45.12,0.96,0,0,0,0
2018-05-10,1,6243.84,260,1010.88,0,1010.88,38.4,0,0,0,0,0,0,38.4,96,208.32,434.88,770.88,1010.88,992.64,840.96,739.2,575.04,342.72,140.16,53.76,0,0,0,0,0
2018-05-11,1,7080.96,295,952.32,0,952.32,4.8,0,0,0,0,0,4.8,107.52,316.8,519.36,819.84,933.12,952.32,946.56,884.16,620.16,609.6,199.68,128.64,38.4,0,0,0,0,0
2018-05-12,1,835.2,35,128.64,0,128.64,2.88,0,0,0,0,0,0,2.88,16.32,78.72,94.08,115.2,72,91.2,128.64,92.16,69.12,48.96,21.12,4.8,0,0,0,0,0
2018-05-13,1,4780.8,199,904.32,0,904.32,0.96,0,0,0,0,0,0,26.88,129.6,204.48,291.84,645.12,904.32,731.52,536.64,459.84,367.68,307.2,128.64,46.08,0.96,0,0,0,0
2018-05-14,1,6747.84,281,966.72,0,966.72,0.96,0,0,0,0,0,0.96,54.72,190.08,492.48,712.32,914.88,966.72,923.52,828.48,731.52,397.44,355.2,138.24,40.32,0.96,0,0,0,0
2018-05-15,1,6341.76,264,903.36,0,903.36,15.36,0,0,0,0,0,0,15.36,87.36,474.24,741.12,864.96,903.36,877.44,810.24,689.28,427.2,267.84,144.96,38.4,0,0,0,0,0
2018-05-16,1,826.56,34,162.24,0,162.24,4.8,0,0,0,0,0,0,4.8,34.56,31.68,135.36,107.52,80.64,93.12,162.24,80.64,32.64,8.64,54.72,0,0,0,0,0,0
2018-05-17,1,2393.28,100,553.92,0,553.92,0.96,0,0,0,0,0,0,25.92,70.08,145.92,50.88,46.08,153.6,553.92,492.48,400.32,279.36,124.8,37.44,11.52,0.96,0,0,0,0
2018-05-18,1,608.64,25,117.12,0,117.12,2.88,0,0,0,0,0,0,0,10.56,14.4,11.52,69.12,113.28,34.56,24.96,72,117.12,97.92,40.32,2.88,0,0,0,0,0
2018-05-19,1,7550.4,315,965.76,0,965.76,6.72,0,0,0,0,0,6.72,122.88,396.48,708.48,834.24,911.04,843.84,965.76,885.12,785.28,615.36,357.12,98.88,19.2,0,0,0,0,0
2018-05-20,1,5554.56,231,824.64,0,824.64,0.96,0,0,0,0,0,6.72,148.8,390.72,648.96,824.64,667.2,684.48,560.64,588.48,458.88,212.16,157.44,149.76,54.72,0.96,0,0,0,0
2018-05-21,1,7803.84,325,1030.08,0,1030.08,2.88,0,0,0,0,0,2.88,132.48,453.12,699.84,870.72,982.08,1030.08,1012.8,872.64,754.56,498.24,265.92,162.24,62.4,3.84,0,0,0,0
2018-05-22,1,5300.16,221,829.44,0,829.44,4.8,0,0,0,0,0,4.8,135.36,387.84,650.88,749.76,568.32,829.44,696.96,535.68,346.56,246.72,90.24,42.24,15.36,0,0,0,0,0
2018-05-23,1,7798.08,325,1026.24,0,1026.24,0.96,0,0,0,0,0,0,80.64,312,695.04,816,970.56,1025.28,1026.24,945.6,817.92,620.16,362.88,101.76,23.04,0.96,0,0,0,0
2018-05-24,1,7388.16,308,963.84,0,963.84,0.96,0,0,0,0,0,1.92,66.24,345.6,625.92,814.08,915.84,963.84,956.16,883.2,763.2,564.48,332.16,120,34.56,0.96,0,0,0,0
2018-05-25,1,7342.08,306,989.76,0,989.76,3.84,0,0,0,0,0,12.48,122.88,369.6,607.68,833.28,943.68,989.76,968.64,871.68,660.48,452.16,299.52,153.6,52.8,3.84,0,0,0,0
2018-05-26,1,7480.32,312,957.12,0,957.12,0.96,0,0,0,0,0,6.72,123.84,395.52,645.12,816.96,919.68,957.12,943.68,875.52,749.76,569.28,333.12,111.36,31.68,0.96,0,0,0,0
2018-05-27,1,4736.64,197,628.8,0,628.8,0.96,0,0,0,0,0,8.64,80.64,166.08,392.64,563.52,628.8,582.72,571.2,511.68,553.92,355.2,167.04,121.92,31.68,0.96,0,0,0,0
2018-05-28,1,6551.04,273,913.92,0,913.92,2.88,0,0,0,0,0,2.88,71.04,160.32,464.64,793.92,913.92,882.24,887.04,876.48,460.8,482.88,358.08,129.6,63.36,3.84,0,0,0,0
2018-05-29,1,4806.72,200,834.24,0,834.24,9.6,0,0,0,0,0,9.6,79.68,114.24,218.88,305.28,391.68,834.24,764.16,706.56,538.56,384.96,286.08,129.6,43.2,0,0,0,0,0
2018-05-30,1,4133.76,172,592.32,0,592.32,0.96,0,0,0,0,0,0.96,37.44,77.76,269.76,269.76,204.48,492.48,518.4,585.6,592.32,549.12,364.8,127.68,40.32,2.88,0,0,0,0
2018-05-31,1,6144,256,975.36,0,975.36,0.96,0,0,0,0,0,5.76,48,142.08,288,381.12,742.08,975.36,967.68,887.04,719.04,503.04,343.68,112.32,27.84,0.96,0,0,0,0
2018-06-01,1,7094.4,296,945.6,0,945.6,1.92,0,0,0,0,0,7.68,126.72,323.52,618.24,797.76,907.2,945.6,927.36,864,626.88,504,288,121.92,33.6,1.92,0,0,0,0
2018-06-02,1,6785.28,283,935.04,0,935.04,2.88,0,0,0,0,0,3.84,39.36,154.56,438.72,771.84,885.12,935.04,927.36,842.88,727.68,564.48,335.04,111.36,45.12,2.88,0,0,0,0
2018-06-03,1,6763.2,282,951.36,0,951.36,0.96,0,0,0,0,0,15.36,127.68,273.6,590.4,720,786.24,951.36,890.88,829.44,612.48,502.08,328.32,109.44,24.96,0.96,0,0,0,0
2018-06-04,1,6349.44,265,870.72,0,870.72,1.92,0,0,0,0,0,10.56,87.36,254.4,600,726.72,803.52,870.72,769.92,750.72,619.2,490.56,246.72,77.76,39.36,1.92,0,0,0,0
2018-06-05,1,5226.24,218,814.08,0,814.08,1.92,0,0,0,0,0,0,1.92,29.76,99.84,385.92,669.12,742.08,814.08,787.2,543.36,506.88,411.84,161.28,64.32,8.64,0,0,0,0
2018-06-06,1,6561.6,273,932.16,0,932.16,2.88,0,0,0,0,0,0,23.04,79.68,357.12,731.52,883.2,932.16,924.48,852.48,720,538.56,333.12,135.36,48,2.88,0,0,0,0
2018-06-07,1,6302.4,263,910.08,0,910.08,0.96,0,0,0,0,0,2.88,39.36,121.92,279.36,640.32,863.04,910.08,894.72,814.08,705.6,529.92,319.68,136.32,44.16,0.96,0,0,0,0
2018-06-08,1,6720,280,893.76,0,893.76,6.72,0,0,0,0,0,6.72,75.84,235.2,550.08,773.76,884.16,893.76,864,661.44,655.68,579.84,323.52,152.64,63.36,0,0,0,0,0
2018-06-09,1,5712.96,238,926.4,0,926.4,1.92,0,0,0,0,0,19.2,135.36,382.08,634.56,788.16,926.4,911.04,478.08,393.6,308.16,397.44,199.68,115.2,22.08,1.92,0,0,0,0
2018-06-10,1,3732.48,156,734.4,0,734.4,1.92,0,0,0,0,0,1.92,43.2,115.2,333.12,486.72,625.92,734.4,561.6,320.64,226.56,161.28,96.96,22.08,2.88,0,0,0,0,0
